EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,4,4,5,2,4,4,2,2,2,2,1,4,4,2,4,4,2,2,2,2,4,4,2,3,2,5,4,2,2,1,4,4,2,2,4,4,2,2,2,1,4,4,5,4,4,4,4,2,2,19,28,36,38,29,96.9716577977251,96.961119466268,42.497643648784006,11.2864545014926,74.38180867314527,high,high,low,low,high
1,4,4,5,2,4,4,4,2,2,2,1,4,5,2,4,4,2,2,2,2,4,4,2,3,4,5,4,5,2,1,4,4,2,2,4,4,2,2,2,1,4,4,2,4,4,4,4,4,2,17,25,36,36,29,56.8825645768269,35.775960982566446,42.497643648784006,84.74601143852163,74.38180867314527,high,low,low,high,high
1,4,4,5,2,4,4,4,2,2,2,1,4,5,2,4,4,2,2,2,2,4,4,2,2,2,5,4,2,2,1,4,4,2,2,4,4,2,2,2,1,4,4,2,3,4,4,4,2,2,19,30,36,36,27,96.9716577977251,26.384928807169217,42.497643648784006,84.74601143852163,23.922307874891292,high,low,low,high,low
1,4,4,2,2,4,4,2,2,3,2,1,4,5,2,4,4,2,2,2,2,4,4,2,3,4,4,4,5,3,1,4,4,2,2,4,4,1,2,2,1,4,4,2,4,4,4,4,4,2,17,28,35,39,27,56.8825645768269,96.961119466268,69.95048953996736,39.95918612564645,23.922307874891292,high,high,high,low,low
1,4,4,2,2,4,4,4,2,3,2,1,4,4,2,5,4,2,2,2,2,4,4,2,2,2,5,4,2,3,1,4,4,2,2,4,4,1,2,2,1,4,4,2,3,4,4,4,2,2,18,34,36,37,25,13.51772458710916,27.09730031585448,42.497643648784006,38.44590142622035,15.370796609217988,low,low,low,low,low
1,4,4,4,2,4,4,4,2,2,2,1,4,4,2,4,4,2,2,2,2,4,4,2,2,2,4,4,4,3,1,4,4,2,2,4,4,2,2,2,1,4,4,4,4,4,4,4,4,2,19,26,35,36,27,96.9716577977251,65.1757389881823,69.95048953996736,84.74601143852163,23.922307874891292,high,high,high,high,low
1,4,4,5,2,5,4,2,2,2,2,1,4,4,2,5,4,2,2,2,2,4,4,2,3,4,5,4,2,2,1,4,4,2,2,4,4,2,2,2,1,4,4,5,3,4,4,4,5,2,15,25,36,38,28,68.10647851313007,35.775960982566446,42.497643648784006,11.2864545014926,76.34765069075316,high,low,low,low,high
1,4,4,5,2,4,4,5,2,2,2,2,4,5,2,4,4,2,2,2,2,4,4,2,3,4,4,4,4,2,1,4,4,2,3,4,4,1,2,2,1,4,4,5,4,4,4,4,2,2,17,25,34,36,30,56.8825645768269,35.775960982566446,63.54239610140829,84.74601143852163,23.34368453554028,high,low,high,high,low
1,4,4,2,2,4,4,4,2,2,2,1,4,4,2,4,4,2,2,2,2,4,4,2,2,3,4,4,5,2,1,4,4,2,2,4,4,2,2,2,1,4,4,4,3,4,4,4,5,2,18,26,35,36,27,13.51772458710916,65.1757389881823,69.95048953996736,84.74601143852163,23.922307874891292,low,high,high,high,low
1,4,4,5,2,4,4,2,2,2,2,1,4,4,2,4,4,2,2,2,2,4,4,2,3,2,5,4,2,3,1,4,4,2,2,4,4,2,2,2,1,4,4,2,3,4,4,4,4,2,19,29,36,38,27,96.9716577977251,57.0615192334398,42.497643648784006,11.2864545014926,23.922307874891292,high,high,low,low,low
